path,locale,page_family,status_code,index_noindex,canonical,title,meta_description,h1,word_count,internal_inlinks,app_store_cta_present,answer_block_present,safety_block_present,screenshots_present,json_ld_present,hreflang_cluster_status,sitemap_included,recommendation
/free-lifetime/,root,home,200,index,https://www.glpzy.app/free-lifetime/,GLPzy Premium offer | GLPzy,See the current GLPzy Lifetime Premium offer status and download the private GLP-1 tracker for iPhone. No account required.,Lifetime Premium is free until 31 August 2026,460,0,yes,no,no,1,no,none,yes,index
/glp1-side-effect-symptom-tracker.html,root,commercial,200,index,https://www.glpzy.app/glp1-side-effect-symptom-tracker.html,GLP-1 side effect and symptom tracker app | GLPzy,"Track GLP-1 symptoms, side-effect notes, doses, weight, appetite, nutrition and progress photos privately on iPhone with GLPzy.",GLP-1 side effect and symptom tracker,684,19,yes,yes,yes,3,yes,none,yes,index
/weight-loss-injection-tracker.html,root,commercial,200,index,https://www.glpzy.app/weight-loss-injection-tracker.html,Weight loss injection tracker app for iPhone | GLPzy,"Track weight loss injection dates, dose notes, injection sites, reminders, weight, symptoms and progress photos privately on iPhone.","Track weight loss injections, weight and photos on iPhone",284,11,yes,no,yes,1,yes,none,yes,index
/glp1-progress-photo-tracker.html,root,commercial,200,index,https://www.glpzy.app/glp1-progress-photo-tracker.html,GLP-1 progress photo tracker app | GLPzy,"Track GLP-1 progress photos, weight, doses, symptoms and milestones privately on iPhone with GLPzy photo comparison tools.",GLP-1 progress photo tracker,647,19,yes,yes,yes,3,yes,none,yes,index
/glp1-weight-tracker.html,root,commercial,200,index,https://www.glpzy.app/glp1-weight-tracker.html,GLP-1 weight tracker app for iPhone | GLPzy,"Track GLP-1 weight history, dose records, symptoms, photos and optional read-only Apple Health context privately on iPhone.",GLP-1 weight tracker app for iPhone,678,23,yes,yes,yes,3,yes,none,yes,index
/glp1-dose-reminder-app.html,root,commercial,200,index,https://www.glpzy.app/glp1-dose-reminder-app.html,GLP-1 dose reminder app for iPhone | GLPzy,"Track GLP-1 dose dates, next dose reminders, last dose history, injection sites, weight, symptoms and notes privately on iPhone.",GLP-1 dose reminder app for iPhone,665,20,yes,yes,yes,3,yes,none,yes,index
/apple-health-weight-loss-injection-tracker.html,root,commercial,200,index,https://www.glpzy.app/apple-health-weight-loss-injection-tracker.html,Apple Health weight loss injection tracker | GLPzy,"Use GLPzy with optional read-only Apple Health context for weight, glucose, body, movement, workouts and nutrition beside injection tracking.",Use Apple Health context beside weight loss injection tracking,296,5,yes,no,yes,1,yes,none,yes,index
/apple-health-glp-tracker.html,root,commercial,200,index,https://www.glpzy.app/apple-health-glp-tracker.html,Apple Health GLP-1 tracker support | GLPzy,"Use GLPzy with optional read-only Apple Health data for weight, height, glucose, body, movement, workouts and nutrition context on iPhone.",Apple Health GLP-1 tracker support,916,31,yes,yes,yes,3,yes,54 alternates,yes,index
/data-rights.html,root,privacy,200,index,https://www.glpzy.app/data-rights.html,"GLPzy data rights, export and deletion choices","Read how GLPzy handles exports, deletion, Apple Health permissions, continuity backups, and user privacy choices on iPhone and iPad.",User Privacy Choices and Data Rights,812,43,no,no,no,0,no,54 alternates,yes,index
/glp1-weight-dose-symptom-tracker.html,root,commercial,200,index,https://www.glpzy.app/glp1-weight-dose-symptom-tracker.html,GLP-1 tracker app for iPhone | GLPzy,"Track GLP-1 doses, reminders, weight, symptoms, appetite, nutrition, photos and optional read-only Apple Health context privately on iPhone.",GLP-1 tracker app for iPhone,1076,29,yes,yes,yes,3,yes,54 alternates,yes,index
